Time,Magnet 1 X,Magnet 1 Y,Magnet 2 X,Magnet 2 Y,Main Coil (A),Yoke Temp (Â°C),Filament (A),Arc (mA),Arc (V),DF (mA),DF (V)
Tue Sep 17 10:10:44 CDT 2019,-48.809,-44.942,-5.566,51.858,744.32,38.543,187.544,112.797,132.543,-0,48.908
Tue Sep 17 10:10:58 CDT 2019,-48.141,-44.604,-6.452,50.933,744.318,38.541,187.669,112.716,131.923,-0,48.905
Tue Sep 17 10:18:58 CDT 2019,-47.753,-44.634,-7.083,51.649,744.323,38.546,187.53,111.976,132.01,0,48.9
Tue Sep 17 10:19:27 CDT 2019,-48.866,-45.223,-5.421,52.049,744.323,38.547,187.544,112.475,132.152,-0,48.908
Tue Sep 17 10:23:04 CDT 2019,-48.13,-45.211,-6.651,52.468,744.324,38.547,187.544,113.891,132.522,-0,48.911
Fri Sep 27 07:56:45 CDT 2019,-47.455,-41.304,-8.29,44.23,744.686,40.105,179.439,98.822,134.105,0,48.905
Fri Sep 27 07:57:36 CDT 2019,-47.777,-40.661,-6.515,43.79,744.688,40.105,179.257,98.999,132.114,0,48.902
Fri Sep 27 07:57:48 CDT 2019,-48.18,-40.49,-7.197,43.912,744.684,40.116,179.257,99.144,132.62,-0,48.911
Fri Sep 27 07:58:05 CDT 2019,-48.58,-40.819,-5.04,45.125,744.685,40.105,179.453,98.999,132.794,0,48.905
Fri Sep 27 08:33:46 CDT 2019,-48.471,-40.473,-6.719,43.493,744.688,40.118,179.257,99.079,132.979,0,48.902
Fri Sep 27 08:34:40 CDT 2019,-47.394,-40.519,-7.731,44.733,744.685,40.118,179.369,98.661,132.625,0,48.902
Fri Sep 27 08:35:08 CDT 2019,-48.37,-40.614,-5.969,44.194,744.685,40.117,179.313,98.806,132.326,0,48.902
Fri Sep 27 08:35:21 CDT 2019,-47.622,-40.722,-7.37,44.594,744.687,40.113,179.341,98.757,132.424,0,48.905
Fri Sep 27 08:39:01 CDT 2019,-47.012,-40.927,-9.247,44.992,744.686,40.112,179.341,99.353,132.609,0,48.902
Fri Sep 27 08:39:23 CDT 2019,-47.413,-41.502,-6.972,46.936,744.688,40.113,179.327,99.611,133.136,0,48.902
Fri Sep 27 08:39:36 CDT 2019,-49.148,-41.134,-5.172,44.462,744.684,40.119,179.327,99.096,133.06,-0,48.911
Fri Sep 27 08:39:50 CDT 2019,-47.671,-40.931,-7.454,45.028,744.688,40.117,179.369,98.918,131.668,-0,48.911
Fri Sep 27 09:01:37 CDT 2019,-46.323,-42.506,-9.542,46.704,744.688,40.122,179.118,99.112,132.114,-0,48.911
Tue Oct 01 07:30:41 CDT 2019,-40.477,-44.45,-22.334,50.661,744.542,39.758,190.055,109.19,141.182,0,48.902
Tue Oct 01 07:40:52 CDT 2019,-39.803,-44.149,-22.034,50.795,744.543,39.761,190.013,109.754,141.955,-0,48.905
Tue Oct 01 07:41:00 CDT 2019,-40.529,-44.119,-21.952,51.081,744.548,39.764,189.999,109.512,141.313,-0,48.911
Tue Oct 01 07:41:08 CDT 2019,-39.937,-44.113,-22.292,50.988,744.544,39.771,190.125,109.255,142.189,0,48.905
Tue Oct 01 07:41:18 CDT 2019,-40.946,-44.123,-20.423,50.81,744.547,39.764,190.041,109.464,140.801,-0,48.911
Tue Oct 01 07:41:25 CDT 2019,-40.803,-43.982,-20.915,50.292,744.543,39.76,190.041,109.351,140.888,-0,48.911
Tue Oct 01 07:42:26 CDT 2019,-39.981,-43.96,-22.575,50.617,744.547,39.759,189.957,109.335,142.401,0,48.902
Thu Oct 03 09:00:13 CDT 2019,-44.816,-44.22,-11.361,51.687,744.635,39.952,187.879,108.675,139.284,-0,48.911
Thu Oct 03 09:00:22 CDT 2019,-46.126,-44.264,-11.331,51.093,744.638,39.958,187.739,108.981,138.631,0,48.905
Thu Oct 03 10:20:19 CDT 2019,-42.781,-45.186,-17.687,53.689,744.637,39.984,187.572,110.011,139.844,-0,48.908
Thu Oct 03 10:29:02 CDT 2019,-43.103,-45.548,-15.421,53.378,744.639,39.992,187.502,109.85,139.615,0,48.911
Thu Oct 03 10:33:34 CDT 2019,-44.28,-45.746,-14.958,54.086,744.644,39.99,187.474,109.561,138.342,-0,48.911
Thu Oct 03 10:57:30 CDT 2019,-42.527,-45.862,-17.362,53.801,744.645,40.004,187.446,109.657,137.673,0,48.905
Thu Oct 03 10:57:36 CDT 2019,-43.4,-45.961,-15.587,53.837,744.643,40.001,187.502,109.915,137.478,0,48.905
Thu Oct 03 11:03:27 CDT 2019,-43.798,-45.848,-15.075,53.631,744.641,40.004,187.418,109.512,139.213,0,48.905
Thu Oct 03 11:58:53 CDT 2019,-42.897,-46.184,-17.364,55.003,744.645,40.033,187,110.414,139.626,-0,48.913
Thu Oct 03 12:03:51 CDT 2019,-43.072,-46.048,-15.566,53.56,744.647,40.026,187.014,109.657,139.724,-0,48.911
Thu Oct 03 12:04:03 CDT 2019,-43.067,-46.562,-17.221,56.156,744.643,40.036,187.069,109.561,139.898,0,48.905
Thu Oct 03 12:04:22 CDT 2019,-43.04,-46.659,-15.851,54.837,744.645,40.034,187,109.561,139.061,0,48.902
Thu Oct 03 12:04:29 CDT 2019,-43.591,-46.405,-15.682,54.515,744.648,40.029,187.167,109.738,139.082,0,48.908
Thu Oct 03 12:04:37 CDT 2019,-43.717,-45.988,-15.233,53.305,744.647,40.029,187,109.303,138.566,-0,48.913
Thu Oct 03 12:04:45 CDT 2019,-43.425,-46.184,-16.123,54.882,744.646,40.028,187.083,109.802,138.897,-0,48.913
Thu Oct 03 12:05:08 CDT 2019,-43.202,-46.095,-15.872,53.738,744.644,40.033,187.153,108.917,139.202,0,48.908
Thu Oct 03 12:25:20 CDT 2019,-44.087,-45.957,-14.683,53.624,744.647,40.035,187.181,110.044,137.864,-0,48.911
Fri Oct 04 06:33:49 CDT 2019,-43.823,-43.657,-15.059,49.9,744.54,39.557,185.73,113.376,137.325,0,48.905
Fri Oct 04 06:34:17 CDT 2019,-45.029,-43.12,-13.08,47.99,744.541,39.553,185.758,113.183,137.858,0,48.905
Fri Oct 04 06:34:30 CDT 2019,-45.387,-42.668,-12.758,47.585,744.542,39.548,185.926,113.586,137.684,0,48.908
Fri Oct 04 08:02:53 CDT 2019,-45.775,-43.578,-10.723,49.56,744.565,39.577,185.423,102.299,127.963,-0,48.908
Mon Oct 14 18:25:28 CDT 2019,-43.427,-44.564,-16.321,51.409,744.59,39.795,187.697,97.566,135.693,0,48.911
Mon Oct 14 18:25:39 CDT 2019,-43.622,-44.133,-15.217,50.062,744.585,39.783,187.544,97.518,135.954,-0,48.911
Mon Oct 14 18:25:45 CDT 2019,-43.744,-44.465,-15.492,51.726,744.587,39.788,187.711,97.55,135.764,0,48.911
